No errors
No warnings
856 ms
data source=metars
4678 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KWBF 020040Z AUTO 00000KT 10SM FEW043 25/14 A3010 RMK A01,KWBF,2020-05-02T00:40:00Z,26.93,-90.5,25.0,14.0,0,0,,10.0,30.100393,,,TRUE,TRUE,,,,,,,FEW,4300,,,,,,,VFR,,,,,,,,,,,,METAR,10.0
KHHV 020040Z AUTO 14012KT CLR 24/17 A3003 RMK A01,KHHV,2020-05-02T00:40:00Z,26.93,-94.68,24.0,17.0,140,12,,,30.029528,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,,,,,,,,,,,,,METAR,25.0
KHQI 020040Z AUTO 14011KT 10SM FEW035 24/15 A3006 RMK A01,KHQI,2020-05-02T00:40:00Z,27.93,-93.67,24.0,15.0,140,11,,10.0,30.059055,,,TRUE,TRUE,,,,,,,FEW,3500,,,,,,,VFR,,,,,,,,,,,,METAR,26.0
KSTK 020040Z AUTO 05009KT 10SM SCT027 SCT037 BKN046 19/11 A2985 RMK AO2 P0008,KSTK,2020-05-02T00:40:00Z,40.62,-103.27,19.0,11.0,50,9,,10.0,29.84941,,,TRUE,TRUE,,,,,,,SCT,2700,SCT,3700,BKN,4600,,,VFR,,,,,,0.08,,,,,,METAR,1231.0
K4V0 020040Z AUTO 03014G22KT 10SM SCT120 21/03 A2992 RMK AO2 T02130028,K4V0,2020-05-02T00:40:00Z,40.1,-108.77,21.3,2.8,30,14,22,10.0,29.920275,,,TRUE,TRUE,,,,,,,SCT,12000,,,,,,,VFR,,,,,,,,,,,,METAR,1608.0
CYVM 020039Z AUTO 35003KT 7SM -SN BKN011 OVC025 M04/M05 A2992 RMK SLP135,CYVM,2020-05-02T00:39:00Z,67.53,-64.02,-4.0,-5.0,350,3,,7.0,29.920275,1013.5,,TRUE,,,,,,,-SN,BKN,1100,OVC,2500,,,,,MVFR,,,,,,,,,,,,SPECI,6.0
YSDU 020038Z AUTO 26014KT 9999 // SCT013 SCT020 BKN031 12/11 Q1013,YSDU,2020-05-02T00:38:00Z,-32.22,148.57,12.0,11.0,260,14,,6.21,29.911417,,,TRUE,,,,,,,,SCT,1300,SCT,2000,BKN,3100,,,VFR,,,,,,,,,,,,SPECI,275.0
CYTE 020038Z AUTO 02010G17KT 9SM SCT012 OVC045 M08/M10 A2996 RMK SLP151,CYTE,2020-05-02T00:38:00Z,64.22,-76.52,-8.0,-10.0,20,10,17,9.0,29.958662,1015.1,,TRUE,,,,,,,,SCT,1200,OVC,4500,,,,,VFR,,,,,,,,,,,,SPECI,47.0
K4BM 020038Z AUTO 21009G17KT 170V250 10SM BKN100 12/M08 A3033 RMK AO2,K4BM,2020-05-02T00:38:00Z,39.05,-105.52,12.0,-8.0,210,9,17,10.0,30.33071,,,TRUE,TRUE,,,,,,,BKN,10000,,,,,,,VFR,,,,,,,,,,,,METAR,3438.0
CYUX 020037Z AUTO 34017KT 9SM CLR M16/M19 A3013 RMK SLP207,CYUX,2020-05-02T00:37:00Z,68.77,-81.25,-16.0,-19.0,340,17,,9.0,30.129921,1020.7,,TRUE,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,8.0
KDDH 020037Z AUTO 00000KT 10SM SCT018 BKN030 OVC055 13/10 A2973 RMK AO2 T01280100,KDDH,2020-05-02T00:37:00Z,42.9,-73.25,12.8,10.0,0,0,,10.0,29.731298,,,TRUE,TRUE,,,,,,,SCT,1800,BKN,3000,OVC,5500,,,MVFR,,,,,,,,,,,,SPECI,244.0
LIRZ 020037Z AUTO 10004KT 070V150 9999 BKN034/// 15/14 Q1009,LIRZ,2020-05-02T00:37:00Z,43.1,12.5,15.0,14.0,100,4,,6.21,29.793306,,,TRUE,,,,,,,,BKN,3400,,,,,,,VFR,,,,,,,,,,,,SPECI,205.0
KWVL 020037Z AUTO 00000KT 1 3/4SM BR OVC003 11/11 A2960 RMK AO2 VIS 3/4V4,KWVL,2020-05-02T00:37:00Z,44.52,-69.67,11.0,11.0,0,0,,1.75,29.601377,,,TRUE,TRUE,,,,,,BR,OVC,300,,,,,,,LIFR,,,,,,,,,,,,SPECI,101.0
